Year,importer,exporter,total_import
2023,Thailand,United States of America,222732323.24
2023,Timor-Leste,Indonesia,2994980.813
2023,Timor-Leste,China,2400600.135
2023,Timor-Leste,SIDS: Pacific,911898.177
2023,Togo,China,8471719.195
2023,Togo,India,6860172.015000001
2023,Togo,Netherlands,1654334.161
2023,Tonga,New Zealand,839831.967
2023,Tonga,SIDS (Small island developing States) (UN-OHRLLS),678640.339
2023,Tonga,SIDS: Pacific,678639.175
2023,Tunisia,Italy,38657821.229
2023,Tunisia,China,37105871.718
2023,Tunisia,France,32095412.283
2023,Turkey,China,518911823.687
2023,Turkey,Russia,370628454.047
2023,Turkey,Germany,332992102.17800003
2023,Turkmenistan,Turkey,10040986.977
2023,Turkmenistan,China,9811863.593
2023,Turkmenistan,Russia,5554548.535
2023,Tuvalu,SIDS: Pacific,93627.575
2023,Tuvalu,SIDS (Small island developing States) (UN-OHRLLS),93627.575
2023,Tuvalu,China,83697.56599999999
2023,Uganda,China,28508999.136
2023,Uganda,United Arab Emirates,16297621.098
2023,Uganda,India,13038644.331
2023,Ukraine,China,119762215.809
2023,Ukraine,Poland,69364464.5
2023,Ukraine,Germany,56807267.834
2023,United Arab Emirates,China,974761875.032
2023,United Arab Emirates,India,467541590.356
2023,United Arab Emirates,United States of America,352055358.856
2023,United Kingdom,China,1127802311.936
2023,United Kingdom,United States of America,1023594166.394
2023,United Kingdom,Germany,858934335.699
2023,Tanzania,China,53585131.944
2023,Tanzania,India,24144282.874
2023,Tanzania,United Arab Emirates,10837295.589
2023,United States of America,Mexico,5496495821.521
2023,United States of America,China,5019909775.446
2023,United States of America,Canada,4497276523.307
2023,Uruguay,Brazil,31436772.322
2023,Uruguay,China,27028666.743
2023,Uruguay,Argentina,17462545.392
2023,Uzbekistan,China,134262035.555
2023,Uzbekistan,Russia,65477661.785
2023,Uzbekistan,Kazakhstan,37647969.641
2023,Vanuatu,SIDS: Pacific,1398449.438
2023,Vanuatu,SIDS (Small island developing States) (UN-OHRLLS),1398449.438
2023,Vanuatu,Australia,1153152.184
2023,Venezuela,United States of America,29556556.057
2023,Venezuela,China,17439565.386
2023,Venezuela,Brazil,11452264.615
2023,Vietnam,China,1241439384.194
2023,Vietnam,South Korea,612810640.208
2023,Vietnam,Japan,265666942.699
2023,Western Sahara,Sudan (...2011),
2023,Western Sahara,Indonesia (...2002),
2023,Yemen,Djibouti,8779259.708
2023,Yemen,China,8629223.939
2023,Yemen,United Arab Emirates,7056181.38
2023,Zambia,South Africa,37999828.346
2023,Zambia,China,17768718.781
2023,Zambia,United Arab Emirates,10314207.8
2023,Zimbabwe,South Africa,45292837.843
2023,Zimbabwe,China,19098513.256
2023,Zimbabwe,SIDS (Small island developing States) (UN-OHRLLS),6699325.2020000005
