iso3c,country,year,gdp,gdp_forc20,gap_dollars,gap_relative
FJI,Fiji,2021,78.75714286,104.6493,-1350537331,-24.74
FIN,Finland,2021,100.7025261,102.9605941,-5752296269,-2.193
FRA,France,2021,98.50135937,102.6178989,-1.07722E+11,-4.01
PYF,French Polynesia,2021,90.92183004,,,
GAB,Gabon,2021,99.59765211,106.296,-1035580767,-6.3
GMB,Gambia,2021,104.8822093,112.4654,-127210118,-7
GEO,Georgia,2021,102.9975811,108.9935,-1064749472,-5.501
DEU,Germany,2021,98.83308439,102.7039443,-1.39221E+11,-3.769
GHA,Ghana,2021,105.8979487,112.3536,-4032568382,-5.75
GRC,Greece,2021,98.67094251,103.9648954,-10795043269,-5.09
GRL,Greenland,2021,92.77861329,,,
GRD,Grenada,2021,90.28714418,105.8841,-177016144,-14.730215
GUM,Guam,2021,89.54537414,,,
GTM,Guatemala,2021,106.0758992,106.296,-155796728,0
GIN,Guinea,2021,109.0121568,112.36,-404262406,-2.98
GNB,Guinea-Bissau,2021,101.3088024,110.145,-110340191,-8.02
GUY,Guyana,2021,172.2615706,206.3035,-1726280418,-16.5
